query,room,item_type_same,branded_terms,category hierarchy,product_class,category,sub_category,materials,item_type_unconstrained,query_classification,corrected_query
bedroom accessories,unknown,unknown,unknown,unknown,unknown,Décor & Pillows ,unknown,unknown,No Category Fits,Décor & Pillows / Home Accessories / Decorative Objects sep Bed Accessories sep Décor & Pillows / Art / All Wall Art sep Storage & Organization / Closet Storage & Organization / Closet Accessories sep Lighting / Table & Floor Lamps / Table Lamps sep Furniture / Bedroom Furniture / Bedroom and Makeup Vanities sep Rugs / Kitchen Mats sep Furniture / Bedroom Furniture / Nightstands,bedroom accessories
"bedroom wall decor floral, multicolored with some teal (prints)",unknown,unknown,unknown,unknown,Wall Art,Décor & Pillows , Art ,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art sep Décor & Pillows / Flowers & Plants / Faux Flowers sep Décor & Pillows / Wall Décor / Wall Accents sep Décor & Pillows / Art / All Wall Art / Yellow Wall Art sep Décor & Pillows / Art / All Wall Art / Green Wall Art,"bedroom wall decor floral, multicolored with some teal (prints)"
beds that have leds,bedroom,unknown,unknown,Furniture / Bedroom Furniture / Beds & Headboards / Beds,Beds,Furniture , Bedroom Furniture ,unknown,No Category Fits,Furniture / Bedroom Furniture / Nightstands sep Lighting / Wall Lights / Under Cabinet Lighting sep Bed Accessories sep Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Beds sep Furniture / Bedroom Furniture / Daybeds,beds that have LEDs
bee,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art / Blue Wall Art sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs / Wingback Accent Chairs sep Outdoor / Outdoor Décor / Statues & Sculptures sep Lighting / Table & Floor Lamps / Table Lamps sep Décor & Pillows / Wall Décor / Wall Decals sep Kitchen & Tabletop / Tableware & Drinkware / Table & Kitchen Linens / All Table Linens sep Décor & Pillows / Art / All Wall Art,bee
belchertown table lamp,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Lighting / Table & Floor Lamps / Table Lamps sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs sep Lighting / Table & Floor Lamps / Floor Lamps sep Furniture / Bedroom Furniture / Nightstands sep Furniture / Office Furniture / Desks,belchertown table lamp
benjiamino faux leather power lift chair,unknown,unknown,unknown,unknown,unknown,Furniture ,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / Chairs & Seating / Recliners sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs sep Furniture / Living Room Furniture / Chairs & Seating / Massage Chairs sep Furniture / Office Furniture / Office Chair Accessories / Seat Cushion Office Chair Accessories sep Furniture / Office Furniture / Office Chairs,benjamino faux leather power lift chair
berenice 4 storage cabinet,unknown,unknown,berenice,unknown,unknown,Furniture ,unknown,unknown,No Category Fits,Storage & Organization / Bathroom Storage & Organization / Bathroom Cabinets & Shelving sep Furniture / Office Furniture / Office Storage Cabinets sep Furniture / Living Room Furniture / Bookcases sep Furniture / Bedroom Furniture / Armoires & Wardrobes sep Storage & Organization / Shoe Storage / All Shoe Storage / Cabinet Shoe Storage,berenice 4 storage cabinet
betty resin free standing umbrella,outdoor,umbrella,betty resin free standing umbrella base,Outdoor / Outdoor Shades / Outdoor Umbrellas / Patio Umbrella Stands & Bases,Patio Umbrella Stands & Bases,Outdoor , Outdoor Shades ,polyresin,umbrella base,Outdoor / Outdoor Shades / Outdoor Umbrellas / Patio Umbrella Stands & Bases sep Outdoor / Outdoor Décor / Statues & Sculptures sep Outdoor / Garden / Plant Stands & Accessories sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets,betty resin freestanding umbrella
big basket for dirty cloths,unknown,laundry basket,unknown,Storage & Organization / Bathroom Storage & Organization / Hampers & Laundry Baskets,Hampers & Baskets,Storage & Organization , Bathroom Storage & Organization ,unknown,No Category Fits,"Storage & Organization / Bathroom Storage & Organization / Hampers & Laundry Baskets sep Storage & Organization / Bathroom Storage & Organization / Hampers & Laundry Baskets / Laundry Hampers & Laundry Baskets sep Décor & Pillows / Home Accessories / Vases, Urns, Jars & Bottles sep Storage & Organization / Cleaning & Laundry Organization / Laundry Room Organizers",big basket for dirty clothes
bistro sets patio,outdoor,unknown,unknown,unknown,Patio Dining Sets,Outdoor , Outdoor & Patio Furniture ,unknown,No Category Fits,"Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets / Two Person Patio Dining Sets sep Outdoor / Outdoor & Patio Furniture / Patio Bar Furniture / Patio Bar Stools sep Outdoor / Outdoor & Patio Furniture / Outdoor Tables / All Patio Tables sep Outdoor / Outdoor Cooking & Tableware / Outdoor Serving & Tableware / Coolers, Baskets & Tubs / Picnic Baskets & Backpacks",bistro sets patio
bistro table and chairs,outdoor,unknown,unknown,unknown,Patio Dining Sets,Outdoor , Outdoor & Patio Furniture ,unknown,No Category Fits,Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen & Dining Chairs sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets sep Furniture / Kitchen & Dining Furniture / Bar Furniture / Home Bars & Bar Sets sep Furniture / Kitchen & Dining Furniture / Dining Tables & Seating / Kitchen and Dining Sets sep Outdoor / Garden / Plant Stands & Accessories,bistro table and chairs
biycicle plant stands,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Outdoor / Garden / Plant Stands & Accessories sep Furniture / Living Room Furniture / Coffee Tables & End Tables / Plant Stands & Tables / Square Plant Stands & Tables sep Outdoor / Garden / Planters sep Décor & Pillows / Flowers & Plants / Wreaths sep Furniture / Living Room Furniture / Chairs & Seating / Accent Chairs,bicycle plant stands
black 5 drawer dresser by guilford,bedroom,unknown,unknown,Furniture / Bedroom Furniture / Dressers & Chests,unknown,Furniture , Bedroom Furniture ,,No Category Fits,Furniture / Bedroom Furniture / Dressers & Chests sep Furniture / Bedroom Furniture / Armoires & Wardrobes sep Décor & Pillows / Wall Décor / Wall Accents sep Furniture / Bedroom Furniture / Dressers & Chests / Beige Dressers & Chests sep Furniture / Bedroom Furniture / Jewelry Armoires,black 5 drawer dresser by guilford
black fluffy stool,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Office Furniture / Office Stools sep Décor & Pillows / Home Accessories / Decorative Objects sep Baby & Kids / Toddler & Kids Playroom / Playroom Furniture / Toddler & Kids Chairs & Seating sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Outdoor Club Chairs sep Furniture / Bedroom Furniture / Armoires & Wardrobes,black fluffy stool
black frame 22 x 36,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Picture Frames & Albums / All Picture Frames sep Furniture / Living Room Furniture / TV Stands & Media Storage Furniture / Projection Screens / Folding Frame Projection Screens sep School Furniture and Supplies / School Spaces / Computer Lab Furniture / Podiums & Lecterns sep Décor & Pillows / Picture Frames & Albums / All Picture Frames / Single Picture Picture Frames sep Home Improvement / Building Equipment / Dollies / Hand Truck Dollies,black frame 22 x 36
black freestanding tub  with faucet,bathroom,unknown,unknown,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Bathtubs,Tubs And Whirlpools,Home Improvement , Bathroom Remodel & Bathroom Fixtures ,unknown,No Category Fits,Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Bathtubs sep Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Shower & Bathtub Accessories sep Home Improvement / Bathroom Remodel & Bathroom Fixtures / Bathroom Vanities / All Bathroom Vanities / Traditional Bathroom Vanities sep Bed & Bath / Bathroom Accessories & Organization / Countertop Bath Accessories sep Home Improvement / Bathroom Remodel & Bathroom Fixtures / Showers & Bathtubs / Shower & Bathtub Doors,black freestanding tub with faucet
black hanging bookshelf,living room,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Furniture / Living Room Furniture / Bookcases sep Storage & Organization / Wall Shelving & Organization / Wall and Display Shelves sep Storage & Organization / Wall Shelving & Organization / Wall & Display Shelves sep Décor & Pillows / Art / All Wall Art sep Furniture / Office Furniture / Office Storage Cabinets,black hanging bookshelf
blaylock bookcase headboard,bedroom,unknown,bookcase headboard sep blaylock,Furniture / Bedroom Furniture / Beds & Headboards / Headboards / Wood Headboards,Headboards,Furniture , Bedroom Furniture ,real wood sep solid wood,bookcase headboard,Furniture / Bedroom Furniture / Beds & Headboards / Headboards sep Furniture / Bedroom Furniture / Beds & Headboards / Bed Frames / Twin Bed Frames sep Furniture / Bedroom Furniture / Beds & Headboards / Beds sep Furniture / Bedroom Furniture / Beds & Headboards / Beds / Twin Beds sep Furniture / Bedroom Furniture / Beds & Headboards / Beds / Queen Size Beds,blaylock bookcase headboard
blk 18x18 seat cushions,unknown,unknown,unknown,Ergonomic Accessories,unknown,unknown,,unknown,No Category Fits,Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Lounge Chair Patio Furniture Cushions sep Outdoor / Outdoor Décor / Outdoor Pillows & Cushions / Patio Furniture Cushions / Dining Chair Patio Furniture Cushions sep Outdoor / Outdoor & Patio Furniture / Outdoor Seating & Patio Chairs / Patio Seating / Patio Sofas & Sectionals sep Furniture / Office Furniture / Chair Mats sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows,black 18x18 seat cushions
block coffee table,living room,coffee table,unknown,Furniture / Living Room Furniture / Coffee Tables & End Tables / Coffee Tables,Coffee & Cocktail Tables,Furniture , Living Room Furniture ,unknown,No Category Fits,Furniture / Living Room Furniture / Coffee Tables & End Tables / Coffee Tables / Round Coffee Tables sep Furniture / Living Room Furniture / Console Tables sep Furniture / Living Room Furniture / Coffee Tables & End Tables / Coffee Tables / Free Form Coffee Tables sep Furniture / Living Room Furniture / Coffee Tables & End Tables / Coffee Tables / Rectangle Coffee Tables sep Furniture / Living Room Furniture / Coffee Tables & End Tables / Coffee Table Sets,block coffee table
blue faux throw with pillows,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows sep Furniture / Living Room Furniture / Ottomans & Poufs sep Décor & Pillows / Flowers & Plants / Faux Flowers sep Bed Accessories sep Outdoor / Outdoor Décor / Outdoor Wall Décor,blue faux throw with pillows
board game storage cabinet,unknown,unknown,dart board cabinet,Furniture / Game Tables & Game Room Furniture / Dartboards & Cabinets,Dartboards And Cabinets,Furniture , Game Tables & Game Room Furniture ,unknown,dart board cabinet,Furniture / Game Tables & Game Room Furniture / Dartboards & Cabinets sep Furniture / Office Furniture / Office Storage Cabinets sep Storage & Organization / Wall Shelving & Organization / Wall & Display Shelves sep Baby & Kids / Toddler & Kids Playroom / Indoor Play / Dollhouses & Accessories sep Storage & Organization / Garage & Outdoor Storage & Organization / Garage Storage Cabinets,board game storage cabinet
body pillow and case,bedroom,unknown,unknown,Bed & Bath / Bedding Essentials / Bed Pillows,Standard Bed Pillows,Bed & Bath , Bedding Essentials ,unknown,body pillow,Bed & Bath / Bedding / Sheets & Pillowcases sep Bed & Bath / Bedding Essentials / Bed Pillows sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows / Ivory & Cream Throw Pillows sep Décor & Pillows / Home Accessories / Decorative Objects,body pillow and case
body pillow case,bedroom,unknown,unknown,Bed & Bath / Bedding / Sheets & Pillowcases,Sheets And Sheet Sets,Bed & Bath , Bedding ,unknown,No Category Fits,Bed & Bath / Bedding / Sheets & Pillowcases sep Bed & Bath / Bedding Essentials / Bed Pillows sep Décor & Pillows / Home Accessories / Decorative Objects sep Décor & Pillows / Decorative Pillows & Blankets / Throw Pillows,body pillowcase
bohemian,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,No Category Fits,Décor & Pillows / Art / All Wall Art sep Furniture / Living Room Furniture / Sofas sep Rugs / Kitchen Mats sep Lighting / Outdoor Lighting / Outdoor Lanterns & Lamps sep Kitchen & Tabletop / Tableware & Drinkware / Table & Kitchen Linens / All Table Linens sep Outdoor / Outdoor & Patio Furniture / Patio Furniture Sets / Patio Dining Sets,bohemian
boho bed frame,bedroom,bed,,Furniture / Bedroom Furniture / Beds & Headboards / Beds / Queen Size Beds,Beds,Furniture , Bedroom Furniture ,,platform bed,Furniture / Bedroom Furniture / Beds & Headboards / Bed Frames / Twin Bed Frames sep Décor & Pillows / Picture Frames & Albums / All Picture Frames sep Furniture / Bedroom Furniture / Beds & Headboards / Beds sep Furniture / Bedroom Furniture / Nightstands sep Décor & Pillows / Wall Décor / Wall Accents,boho bed frame
bowersville ladder writing desk,office,desk,ladder writing desk sep bowersville,Furniture / Office Furniture / Desks,Teen Desks|Desks,Furniture , Office Furniture ,manufactured wood,ladder writing desk,Furniture / Office Furniture / Desks / Writing Desks sep Furniture / Office Furniture / Desks sep Baby & Kids / Toddler & Kids Bedroom Furniture / Kids Desks sep Décor & Pillows / Art / All Wall Art / Blue Wall Art sep Storage & Organization / Shoe Storage / All Shoe Storage / Cabinet Shoe Storage,bowersville ladder writing desk
breakfast bar table,unknown,unknown,unknown,unknown,unknown,Furniture , Kitchen & Dining Furniture ,unknown,No Category Fits,Furniture / Kitchen & Dining Furniture / Kitchen Islands & Carts sep Furniture / Kitchen & Dining Furniture / Bar Furniture / Bar Stools & Counter Stools / All Bar Stools & Counter Stools sep Décor & Pillows / Home Accessories / Decorative Trays sep Furniture / Living Room Furniture / Console Tables sep Home Improvement / Kitchen Remodel & Kitchen Fixtures / Kitchen Sinks & Faucet Components / Kitchen Sinks,breakfast bar table
brendon counter stool,kitchen,bar stool,brendon,Furniture / Kitchen & Dining Furniture / Bar Furniture / Bar Stools & Counter Stools / All Bar Stools & Counter Stools,Bar Stools,Furniture , Kitchen & Dining Furniture ,unknown,bar stool,Furniture / Kitchen & Dining Furniture / Bar Furniture / Bar Stools & Counter Stools / All Bar Stools & Counter Stools sep Furniture / Living Room Furniture / Chairs & Seating / Benches sep Furniture / Living Room Furniture / Chairs & Seating / Recliners sep Furniture / Living Room Furniture / Ottomans & Poufs sep Furniture / Office Furniture / Office Stools sep Outdoor / Outdoor & Patio Furniture / Patio Bar Furniture / Patio Bar Stools,brendon counter stool
